date,location,nitrate,pho,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,co2,so2,temperature,ph,dissolved_oxygen,ammonia
1/31/2013,Wawa Tanauan,0.019,2.27,46.2,29.2,22.7,79,2,40,870,92.88888889,26.28,8.52,0.98,0.83
1/31/2013,Aya Talisay,0.023,2.27,46.2,29.2,22.7,79,2,40,870,92.88888889,26.35,8.63,5.66,0
2/11/2013,Aya Talisay,0.066,2.27,122,30.5,23.2,78,2,70,870,92.88888889,26.53,8.62,4.44,0.564
2/11/2013,Tumaway Talisay,0.066,2.27,122,30.5,23.2,78,2,70,870,92.88888889,26.55,8.64,5.8,0.528
2/11/2013,Sampaloc Talisay,0.066,2.27,122,30.5,23.2,78,2,70,870,92.88888889,26.92,8.77,6.51,0.528
2/11/2013,Berinayan Laurel,0,2.27,122,30.5,23.2,78,2,70,870,92.88888889,26.98,8.8,5.99,0.48
2/11/2013,Balakilong Laurel,0.033,2.27,122,30.5,23.2,78,2,70,870,92.88888889,27.05,8.78,6.74,0.48
2/11/2013,Buso Buso Laurel,0.066,2.27,122,30.5,23.2,78,2,70,870,92.88888889,26.99,8.72,6.55,0.468
2/11/2013,Bañaga Agoncillo,0.01,2.27,122,30.5,23.2,78,2,70,870,92.88888889,26.95,8.72,6.2,0.468
2/11/2013,Bilibinwang Agoncillo,0,2.27,122,30.5,23.2,78,2,70,870,92.88888889,26.96,8.98,6.59,0.366
2/11/2013,Subic Ilaya Agoncilo,0.01,2.27,122,30.5,23.2,78,2,70,870,92.88888889,27.04,9.09,7.83,0.468
2/11/2013,San Nicolas,0.01,2.27,122,30.5,23.2,78,2,70,870,92.88888889,26.77,8.78,7.39,0.468
2/11/2013,Mataas na Kahoy,0.01,2.27,122,30.5,23.2,78,2,70,870,92.88888889,26.41,8.87,6.95,0.468
2/11/2013,Tanauan,0,2.27,122,30.5,23.2,78,2,70,870,92.88888889,26.32,8.68,9.37,0.432
3/26/2013,Aya Talisay,0,2.27,20.5,31.9,23.4,77,2,40,870,92.88888889,29,8.5,7.47,0
3/26/2013,Tumaway Talisay,0.003,2.27,20.5,31.9,23.4,77,2,40,870,92.88888889,29,9,7.39,0
3/26/2013,Sampaloc Talisay,0.003,2.27,20.5,31.9,23.4,77,2,40,870,92.88888889,29.5,8.5,7.9,0.01
3/26/2013,Berinayan Laurel,0,2.27,20.5,31.9,23.4,77,2,40,870,92.88888889,29.5,8.5,8.38,0.03
3/26/2013,Balakilong Laurel,0.003,2.27,20.5,31.9,23.4,77,2,40,870,92.88888889,28.5,8.25,7.37,0.03
3/26/2013,Buso Buso Laurel,0,2.27,20.5,31.9,23.4,77,2,40,870,92.88888889,29,8.5,7.69,0
3/26/2013,Bañaga Agoncillo,0.007,2.27,20.5,31.9,23.4,77,2,40,870,92.88888889,29,8.5,8.18,0.02
3/26/2013,Bilibinwang Agoncillo,0,2.27,20.5,31.9,23.4,77,2,40,870,92.88888889,29.5,8.5,8.61,0
3/26/2013,Subic Ilaya Agoncilo,0.003,2.27,20.5,31.9,23.4,77,2,40,870,92.88888889,29.5,8.75,8.14,0.01
3/26/2013,San Nicolas,0,2.27,20.5,31.9,23.4,77,2,40,870,92.88888889,29.5,8.75,9.16,0.01
3/26/2013,Mataas na Kahoy,0,2.27,20.5,31.9,23.4,77,2,40,870,92.88888889,28.5,8.5,8.55,0
3/26/2013,Tanauan,0,2.27,20.5,31.9,23.4,77,2,40,870,92.88888889,28,8.5,9.32,0
4/24/2013,Aya Talisay,0.008,2.27,42.4,34.4,23.8,75,1,40,870,92.88888889,27.66666667,8,2.46,0.01
4/24/2013,Tumaway Talisay,0.005333333,2.27,42.4,34.4,23.8,75,1,40,870,92.88888889,27.36666667,8,2.93,0.02
4/24/2013,Sampaloc Talisay,0,2.27,42.4,34.4,23.8,75,1,40,870,92.88888889,28.16666667,8,6.79,0.01
4/24/2013,Berinayan Laurel,0.002333333,2.27,42.4,34.4,23.8,75,1,40,870,92.88888889,28.35,8,5.69,0.1
4/24/2013,Balakilong Laurel,0.001,2.27,42.4,34.4,23.8,75,1,40,870,92.88888889,29.16666667,8,7.63,0.05
4/24/2013,Buso Buso Laurel,0,2.27,42.4,34.4,23.8,75,1,40,870,92.88888889,28.83333333,8,7.31,0.01
4/24/2013,Bañaga Agoncillo,0.004333333,2.27,42.4,34.4,23.8,75,1,40,870,92.88888889,29.16666667,8,6.41,0.01
4/24/2013,Bilibinwang Agoncillo,0.014,2.27,42.4,34.4,23.8,75,1,40,870,92.88888889,28.16666667,8,6.66,0.01
4/24/2013,Subic Ilaya Agoncilo,0.011333333,2.27,42.4,34.4,23.8,75,1,40,870,92.88888889,28.66666667,8,7.91,0.01
4/24/2013,San Nicolas,0.007666667,2.27,42.4,34.4,23.8,75,1,40,870,92.88888889,28.66666667,8.25,8.09,0.01
4/24/2013,Mataas na Kahoy,0.009,2.27,42.4,34.4,23.8,75,1,40,870,92.88888889,28.33333333,8.25,6.73,0.04
4/24/2013,Tanauan,0.013,2.27,42.4,34.4,23.8,75,1,40,870,92.88888889,28.16666667,8.17,6.03,0.01
5/9/2013,Aya Talisay,0.003,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,29.5,8.25,7.7,0.01
5/9/2013,Tumaway Talisay,0.007,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,29.5,8.25,7.4,0.01
5/9/2013,Sampaloc Talisay,0.026,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,31,8.5,7.8,0.01
5/9/2013,Berinayan Laurel,0.03,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,33,9,7,0.01
5/9/2013,Balakilong Laurel,0.03,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,31.5,8.75,7.5,0.01
5/9/2013,Buso Buso Laurel,0.007,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,31,8.25,7.2,0.01
5/9/2013,Bañaga Agoncillo,0.01,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,31,8.25,6.7,0.01
5/9/2013,Bilibinwang Agoncillo,0.01,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,31,8.5,6.8,0.01
5/9/2013,Subic Ilaya Agoncilo,0.013,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,31.5,8.75,7.1,0.01
5/9/2013,San Nicolas,0,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,32,8.75,7.8,0.01
5/9/2013,Mataas na Kahoy,0.016,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,31,8.5,7.5,0.01
5/9/2013,Tanauan,0,2.27,230.3,33.2,24.9,81,1,40,870,92.88888889,30,8.25,7.7,0.01
6/13/2013,Aya Talisay,0.02,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.7,5.44,0.06
6/13/2013,Tumaway Talisay,0.03,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.7,5.73,0.07
6/13/2013,Sampaloc Talisay,0.02,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.6,3.31,0.08
6/13/2013,Berinayan Laurel,0.03,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.6,4.4,0.08
6/13/2013,Balakilong Laurel,0.03,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.6,4.35,0.08
6/13/2013,Buso Buso Laurel,0.02,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31,8.6,5.2,0.07
6/13/2013,Bañaga Agoncillo,0.03,2.27,386.1,32.4,24.8,85,1,240,870,92.88888889,31.25,8.6,4.31,0.08
